Date,Opponent,Score,Attendance
Feb 07,UALBANY,W 21-9,2127
Feb 15,at #7 Maryland,W 15-9,758
Feb 18,CORNELL,W 18-10,2214
Feb 22,at #2 North Carolina,L 8-16,1088
Feb 25,#3 NORTHWESTERN,L 8-12,2080
Mar 01,#14 CLEMSON,L 8-9,2899
Mar 07,#7 STANFORD,Wo2 14-13,2165
Mar 10,#10 JOHNS HOPKINS,L ot 13-14,2049
Mar 15,at Pitt,W 17-11,600
Mar 19,at #17 Loyola,W 14-12,432
Mar 23,#20 NOTRE DAME,W 12-11,3622
Mar 29,#11 VIRGINIA,W 13-12,2736
Apr 02,at #13 Yale Bulldogs,L 10-13,653
Apr 05,at California,W 18-6,250
Apr 12,at Virginia Tech,L 11-14,157
Apr 17,#2 BOSTON COLLEGE,L 2-17,1645
Apr 22,vs #13 Stanford,L 10-15,0
May 09,vs Brown Bears,W 15-9,583
May 11,at #5 Yale Bulldogs,L 8-9,608
